strike_price,CE_OI_@15:30:28,CE_CHOI_@15:30:28,CE_IV_@15:30:28,CE_LTP_@15:30:28,PE_OI_@15:30:28,PE_CHOI_@15:30:28,PE_IV_@15:30:28,PE_LTP_@15:30:28,NIFTY@15:30:28,CE_VOL_@15:30:28,PE_VOL_@15:30:28
11000,150.0,150.0,,2022.75,240675.0,45750.0,49.49,0.65,12968.95,2.0,3905.0
11050,,,,,,,,,12968.95,,
11100,,,,,225.0,225.0,,0.75,12968.95,,74.0
11150,,,,,,,,,12968.95,,
11200,,,,,15600.0,14475.0,,1.0,12968.95,,1175.0
11250,,,,,,,,,12968.95,,
11300,75.0,75.0,,1738.0,28275.0,22425.0,44.17,0.6,12968.95,1.0,2593.0
11350,225.0,225.0,,1741.15,225.0,225.0,,0.5,12968.95,6.0,6.0
11400,,,,,44925.0,35250.0,41.92,0.75,12968.95,,2647.0
11450,,,,,3375.0,2775.0,,0.8,12968.95,,47.0
11500,21825.0,375.0,,1492.15,1255950.0,110850.0,39.48,1.1,12968.95,54.0,31666.0
11550,75.0,,,1350.5,4350.0,2850.0,38.59,1.05,12968.95,,67.0
11600,1275.0,-75.0,,1319.6,177675.0,21825.0,37.53,1.15,12968.95,3.0,4148.0
11650,,,,,1500.0,75.0,,1.3,12968.95,,13.0
11700,11100.0,150.0,,1298.8,137850.0,-525.0,35.36,1.05,12968.95,41.0,3802.0
11750,225.0,150.0,,1275.0,1575.0,-150.0,35.01,1.4,12968.95,4.0,184.0
11800,13200.0,,,1179.6,366600.0,163725.0,33.64,1.45,12968.95,5.0,8829.0
11850,225.0,75.0,,1145.75,4725.0,1275.0,,1.4,12968.95,6.0,162.0
11900,5325.0,,,1089.9,242925.0,-3675.0,31.66,1.25,12968.95,24.0,7530.0
11950,75.0,,,1059.9,29250.0,27525.0,30.58,1.45,12968.95,4.0,792.0
12000,31350.0,-2625.0,,981.0,2066100.0,618900.0,29.91,1.4,12968.95,102.0,46424.0
12050,150.0,150.0,,938.1,13875.0,7350.0,29.0,1.5,12968.95,6.0,1026.0
12100,5550.0,,,887.1,382125.0,27975.0,27.97,1.4,12968.95,3.0,17582.0
12150,525.0,150.0,,875.8,16425.0,5025.0,27.16,1.7,12968.95,3.0,1009.0
12200,23325.0,-525.0,,784.95,776625.0,45225.0,26.04,1.55,12968.95,29.0,27592.0
12250,150.0,,,761.2,74025.0,23400.0,25.26,2.25,12968.95,2.0,3832.0
12300,17325.0,-150.0,,670.0,930675.0,212325.0,24.56,2.7,12968.95,56.0,55506.0
12350,300.0,,,642.05,248175.0,79650.0,23.81,3.4,12968.95,4.0,13170.0
12400,21825.0,-525.0,,572.95,1270050.0,385425.0,23.27,4.75,12968.95,87.0,74484.0
12450,1275.0,600.0,,531.1,370875.0,119925.0,22.87,6.0,12968.95,33.0,29963.0
12500,124950.0,5700.0,,478.05,1949775.0,642075.0,22.29,7.9,12968.95,1004.0,108410.0
12550,12825.0,,,454.2,362850.0,213825.0,21.81,5.05,12968.95,158.0,28454.0
12600,58050.0,-4800.0,,383.0,1422600.0,496275.0,21.4,13.9,12968.95,600.0,144377.0
12650,4425.0,1950.0,16.22,349.15,439650.0,151500.0,20.99,19.0,12968.95,344.0,56950.0
12700,131475.0,-18375.0,14.42,295.0,1546650.0,604500.0,20.72,24.0,12968.95,3369.0,241116.0
12750,32100.0,-450.0,16.37,253.15,442875.0,224625.0,20.42,34.0,12968.95,953.0,95053.0
12800,780225.0,34650.0,17.04,214.0,2404650.0,473250.0,20.01,43.65,12968.95,22684.0,399294.0
12850,90900.0,1125.0,17.58,179.85,310725.0,118350.0,19.59,57.0,12968.95,9748.0,124210.0
12900,1819800.0,528450.0,17.43,145.75,2530275.0,858900.0,19.54,75.0,12968.95,127991.0,450814.0
12950,215100.0,95025.0,17.43,115.0,419550.0,250650.0,19.3,93.0,12968.95,70614.0,191830.0
13000,3228750.0,1215900.0,17.13,90.45,2057925.0,878475.0,19.34,119.0,12968.95,617099.0,541919.0
13050,672600.0,447675.0,17.28,71.0,143775.0,90525.0,19.22,150.95,12968.95,184709.0,63489.0
13100,2430975.0,1513800.0,17.03,52.8,425850.0,217875.0,18.99,183.5,12968.95,451941.0,80353.0
13150,587775.0,338700.0,17.03,38.0,30600.0,14475.0,18.88,215.9,12968.95,137842.0,4074.0
13200,2337900.0,968550.0,16.89,29.6,156000.0,50775.0,18.66,259.9,12968.95,384512.0,21958.0
13250,756075.0,444975.0,16.84,21.0,8625.0,5775.0,24.69,297.6,12968.95,118396.0,798.0
13300,2097000.0,942750.0,16.92,15.0,37650.0,15300.0,18.84,346.3,12968.95,257072.0,2968.0
13350,471525.0,233775.0,16.94,10.3,2925.0,1800.0,23.41,367.1,12968.95,55318.0,164.0
13400,1541550.0,650400.0,17.05,7.3,19950.0,-8100.0,25.21,439.05,12968.95,127389.0,1293.0
13450,490050.0,212925.0,17.0,5.8,2925.0,2175.0,22.2,461.0,12968.95,38357.0,107.0
13500,3112725.0,600000.0,17.49,4.3,152775.0,5325.0,23.1,535.05,12968.95,143795.0,592.0
13550,156300.0,36150.0,17.55,4.0,,,,565.4,12968.95,18769.0,8.0
13600,1374525.0,537300.0,17.82,2.9,150.0,75.0,30.73,593.8,12968.95,82400.0,2.0
13650,118725.0,60150.0,18.28,3.35,600.0,600.0,,657.55,12968.95,4748.0,25.0
13700,1618425.0,997200.0,18.83,2.5,225.0,75.0,34.16,718.75,12968.95,55404.0,4.0
13750,51675.0,12300.0,19.62,2.1,,,,784.65,12968.95,1669.0,2.0
13800,1018425.0,587175.0,20.47,1.9,225.0,,,838.05,12968.95,34014.0,2.0
13850,10200.0,10050.0,21.09,1.95,,,,,12968.95,511.0,
13900,365625.0,121425.0,21.99,1.75,75.0,75.0,,920.6,12968.95,13801.0,4.0
13950,3450.0,1800.0,22.75,1.7,150.0,150.0,,1131.8,12968.95,206.0,8.0
14000,2606475.0,1142475.0,23.58,1.6,600.0,75.0,44.39,1016.1,12968.95,60162.0,5.0
